0,5
1,0
2,5
3,5
4,4
5,1
6,1
7,3
8,8
9,0
10,5
11,1
12,3
13,9
14,1
15,3
16,9
17,9
18,7
19,1
20,6
21,1
22,2
23,7
24,4
25,8
26,1
27,1
28,8
29,4
30,9
31,8
32,8
33,9
34,2
35,3
36,5
37,9
38,1
39,1
40,1
41,7
42,0
43,5
44,9
45,4
46,1
47,6
48,5
49,1
50,9
51,0
52,5
53,9
54,0
55,1
56,8
57,5
58,5
59,1
60,1
61,9
62,0
63,0
64,9
65,9
66,1
67,4
68,0
69,2
70,1
71,1
72,1
73,9
74,9
75,8
76,5
77,1
78,4
79,3
80,7
81,3
82,0
83,5
84,0
85,6
86,5
87,9
88,7
89,9
90,8
91,4
92,0
93,1
94,5
95,1
96,9
97,9
98,0
99,0
100,9
101,8
102,8
103,2
104,9
105,5
106,2
107,5
108,5
109,4
110,1
111,9
112,5
113,5
114,8
115,5
116,8
117,1
118,8
119,9
120,1
121,5
122,5
123,9
124,1
125,3
126,0
127,5
128,4
129,9
130,1
131,1
132,8
133,1
134,9
135,1
136,4
137,2
138,0
139,8
140,5
141,0
142,3
143,9
144,4
145,4
146,5
147,9
148,9
149,1
150,1
151,0
152,9
153,1
154,5
155,0
156,1
157,5
158,4
159,3
160,8
161,8
162,0
163,1
164,1
165,1
166,1
167,1
168,9
169,0
170,5
171,9
172,5
173,0
174,0
175,1
176,1
177,0
178,8
179,5
180,4
181,1
182,9
183,9
184,5
185,5
186,9
187,9
188,6
189,3
190,1
191,9
192,1
193,5
194,3
195,7
196,9
197,7
198,9
199,5
200,9
201,0
202,9
203,0
204,9
205,5
206,8
207,5
208,5
209,0
210,4
211,9
212,0
213,6
214,2
215,3
216,8
217,1
218,3
219,9
220,9
221,1
222,9
223,5
224,5
225,1
226,9
227,5
228,0
229,1
230,9
231,1
232,4
233,4
234,1
235,8
236,5
237,9
238,2
239,1
240,5
241,0
242,9
243,9
244,1
245,1
246,9
247,7
248,4
249,7
250,9
251,1
252,1
253,1
254,9
255,0
256,9
257,4
258,1
259,1
260,4
261,1
262,4
263,1
264,4
265,4
266,2
267,2
268,7
269,4
270,4
271,3
272,5
273,1
274,7
275,0
276,5
277,8
278,9
279,9
280,0
281,9
282,4
283,1
284,3
285,5
286,4
287,1
288,2
289,1
290,3
291,9
292,8
293,8
294,3
295,9
296,1
297,0
298,8
299,9
300,1
301,5
302,9
303,5
304,1
305,1
306,1
307,7
308,6
309,3
310,9
311,4
312,0
313,4
314,1
315,8
316,5
317,5
318,9
319,7
320,9
321,8
322,9
323,6
324,0
325,9
326,9
327,0
328,1
329,9
330,5
331,1
332,4
333,4
334,3
335,4
336,7
337,1
338,9
339,4
340,8
341,8
342,5
343,8
344,0
345,5
346,4
347,4
348,8
349,9
350,5
351,3
352,1
353,4
354,1
355,9
356,9
357,1
358,0
359,4
360,1
361,4
362,5
363,9
364,5
365,2
366,0
367,1
368,1
369,3
370,9
371,4
372,1
373,5
374,1
375,4
376,1
377,5
378,8
379,8
380,1
381,9
382,1
383,1
384,1
385,9
386,0
387,4
388,9
389,0
390,9
391,9
392,0
393,1
394,4
395,1
396,2
397,9
398,9
399,1
400,1
401,9
402,0
403,9
404,8
405,7
406,8
407,9
408,8
409,4
410,5
411,6
412,1
413,9
414,1
415,1
416,9
417,1
418,4
419,5
420,4
421,9
422,3
423,9
424,8
425,0
426,9
427,5
428,4
429,8
430,9
431,8
432,1
433,9
434,9
435,1
436,1
437,9
438,5
439,5
440,1
441,0
442,0
443,1
444,0
445,2
446,8
447,8
448,0
449,9
450,9
451,4
452,1
453,4
454,8
455,6
456,1
457,0
458,1
459,9
460,1
461,8
462,8
463,9
464,8
465,4
466,1
467,8
468,7
469,8
470,4
471,8
472,2
473,9
474,8
475,5
476,5
477,0
478,8
479,4
480,2
481,0
482,1
483,3
484,9
485,4
486,9
487,9
488,9
489,0
490,1
491,4
492,4
493,1
494,8
495,7
496,3
497,0
498,0
499,1
500,9
501,0
502,9
503,4
504,9
505,0
506,9
507,1
508,5
509,8
510,9
511,1
512,1
513,9
514,4
515,0
516,1
517,4
518,6
519,5
